https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1661126400000,2022-08-22 00:00:00,DOGE/USDC,0.06862,0.06877,0.06521,0.06857,397.63473451,5896.273,98.62806724,1459.741,73,0.067449446043935075
1661040000000,2022-08-21 00:00:00,DOGE/USDC,0.06869,0.07084,0.06793,0.07084,1404.31236826,20542.724,737.67317688,10780.621,25,0.068362078574704293
1660953600000,2022-08-20 00:00:00,DOGE/USDC,0.06951,0.07044,0.06793,0.06961,3126.49273669,45097.146,2022.38309011,29130.957,56,0.069331464525009962
1660867200000,2022-08-19 00:00:00,DOGE/USDC,0.07455,0.07455,0.06736,0.06736,2823.36724728,40001.944,0,0,44,0.070637799017196004
1660780800000,2022-08-18 00:00:00,DOGE/USDC,0.08062,0.08138,0.07429,0.07509,11528.42250776,147057.323,4632.60071895,58811.617,114,0.078429144541165949
1660694400000,2022-08-17 00:00:00,DOGE/USDC,0.085,0.08659,0.07981,0.08008,1156.92231887,13729.75,1.86314128,23.266,19,0.084307195402388491
1660608000000,2022-08-16 00:00:00,DOGE/USDC,0.07812,0.08951,0.07792,0.08586,8281.44032404,102373.055,3472.22862578,42505.871,68,0.081007173323889467
1660521600000,2022-08-15 00:00:00,DOGE/USDC,0.08016,0.08237,0.0759,0.07764,2467.62855624,31449.464,529.4767852,6644.792,35,0.078519627491548639
1660435200000,2022-08-14 00:00:00,DOGE/USDC,0.07325,0.0819,0.07325,0.08138,7969.95932921,100689.129,5950.98800243,74813.595,141,0.07920460194760061
1660348800000,2022-08-13 00:00:00,DOGE/USDC,0.0733,0.075,0.07282,0.07282,4354.11034698,59090.029,953.07410456,12926.396,66,0.073688149434130152
1660262400000,2022-08-12 00:00:00,DOGE/USDC,0.07416,0.07416,0.06247,0.0733,606.87873387,8556,229.58709551,3140.887,17,0.071008463966866231
1660176000000,2022-08-11 00:00:00,DOGE/USDC,0.07355,0.0742,0.06862,0.06862,70.25933404,976.684,43.717667,589.892,8,0.07203715468457634
1660089600000,2022-08-10 00:00:00,DOGE/USDC,0.0673,0.07135,0.0673,0.06767,119.60161468,1740.219,93.46460305,1353.43,7,0.068749549108859906
1660003200000,2022-08-09 00:00:00,DOGE/USDC,0.07388,0.0739,0.06965,0.07044,560.47162339,7948.004,74.00028838,1006.939,13,0.070537907863066805
1659916800000,2022-08-08 00:00:00,DOGE/USDC,0.07,0.07,0.0699,0.0699,4.3815804,62.618,0,0,2,0.06997320509284732
1659830400000,2022-08-07 00:00:00,DOGE/USDC,0.06711,0.074,0.06711,0.06862,287.08412141,4153.584,9.765484,131.966,10,0.069137006262137804
1659744000000,2022-08-06 00:00:00,DOGE/USDC,0.074,0.07427,0.06667,0.0742,156.33439632,2262.079,53.99968059,727.36,5,0.069291418013481474
1659657600000,2022-08-05 00:00:00,DOGE/USDC,0.061,0.07018,0.061,0.07018,270.46415116,4081.585,255.46419016,3835.684,9,0.06655695057899665
1659571200000,2022-08-04 00:00:00,DOGE/USDC,0.06906,0.06906,0.06906,0.06906,0,0,0,0,0,0.070392284814073467
1659484800000,2022-08-03 00:00:00,DOGE/USDC,0.06906,0.06906,0.06906,0.06906,0,0,0,0,0,0.070392284814073467
1659398400000,2022-08-02 00:00:00,DOGE/USDC,0.06906,0.06906,0.06906,0.06906,0,0,0,0,0,0.070392284814073467
1659312000000,2022-08-01 00:00:00,DOGE/USDC,0.06906,0.06906,0.06906,0.06906,0,0,0,0,0,0.070392284814073467
1659225600000,2022-07-31 00:00:00,DOGE/USDC,0.07078581,0.07157992,0.06843846,0.06906,1397.1782703123797108,19851.6381267,738.2220522504251336,10409.8592809,37,0.070392284814073467
1659139200000,2022-07-30 00:00:00,DOGE/USDC,0.06968154,0.0741918,0.06834201,0.06968154,246.2243389675497876,3458.80501204,0,0,0,0.07118769
1659052800000,2022-07-29 00:00:00,DOGE/USDC,0.06843846,0.07222414,0.06721314,0.06906,340.0998126687720384,4913.12408222,0,0,0,0.06922272
1658966400000,2022-07-28 00:00:00,DOGE/USDC,0.06720143,0.07030867,0.06541916,0.06866041,116.156481322630734,1728.62324772,0,0,0,0.06719595
1658880000000,2022-07-27 00:00:00,DOGE/USDC,0.06199536,0.06660201,0.06199519,0.06660201,91.9870373424790368,1447.96169637,0,0,0,0.06352864
1658793600000,2022-07-26 00:00:00,DOGE/USDC,0.06199519,0.06255315,0.06019775,0.06255315,217.4777866233672552,3529.54730228,0,0,0,0.06161634
1658707200000,2022-07-25 00:00:00,DOGE/USDC,0.06774627,0.06774627,0.06199519,0.06199519,130.3280498474221181,2009.72773121,0,0,0,0.06484861
1658620800000,2022-07-24 00:00:00,DOGE/USDC,0.0684165,0.06894238,0.06763425,0.06790675,89.4773984694102721,1312.03129361,0,0,0,0.06819761
1658534400000,2022-07-23 00:00:00,DOGE/USDC,0.06720143,0.06903224,0.06608859,0.06780624,74.656727529731308,1106.86352972,0,0,0,0.0674489
1658448000000,2022-07-22 00:00:00,DOGE/USDC,0.07028042,0.07091294,0.06720143,0.06722921,144.697238430667334,2088.9134531,0,0,0,0.06926914
1658361600000,2022-07-21 00:00:00,DOGE/USDC,0.06965353,0.0701739,0.06720143,0.07014448,214.7152415745382752,3119.84893236,0,0,0,0.06882232
1658275200000,2022-07-20 00:00:00,DOGE/USDC,0.0684165,0.07618243,0.06780624,0.07028042,522.445785752448868,7240.13746952,0,0,0,0.07215965
1658188800000,2022-07-19 00:00:00,DOGE/USDC,0.06720143,0.06965353,0.06600794,0.06903224,226.1438062175368908,3327.22757797,0,0,0,0.06796764
1658102400000,2022-07-18 00:00:00,DOGE/USDC,0.06368417,0.0684165,0.06368417,0.06780624,247.4597201203003086,3703.98390698,0,0,0,0.06680907
1658016000000,2022-07-17 00:00:00,DOGE/USDC,0.06368417,0.06536096,0.06311612,0.06311612,95.464876918326726,1485.6603119,0,0,0,0.06425754
1657929600000,2022-07-16 00:00:00,DOGE/USDC,0.06255315,0.06425733,0.06199519,0.06425733,52.6776371673436436,835.03058377,0,0,0,0.06308468
1657843200000,2022-07-15 00:00:00,DOGE/USDC,0.06199519,0.06425733,0.06195746,0.06368171,88.2946335841579681,1400.68194329,0,0,0,0.06303689
1657756800000,2022-07-14 00:00:00,DOGE/USDC,0.06144221,0.06255315,0.05981269,0.06255315,78.6730207963267106,1284.03128882,0,0,0,0.06127033
1657670400000,2022-07-13 00:00:00,DOGE/USDC,0.05927918,0.06199519,0.05729283,0.06199519,219.9190698665641134,3689.01792678,0,0,0,0.05961453
1657584000000,2022-07-12 00:00:00,DOGE/USDC,0.06199519,0.06255315,0.05981269,0.05981269,60.5300521363987662,986.68992039,0,0,0,0.06134658
1657497600000,2022-07-11 00:00:00,DOGE/USDC,0.06660201,0.06660201,0.06144221,0.0615788,85.6354768056067974,1337.41090506,0,0,0,0.06403079
1657411200000,2022-07-10 00:00:00,DOGE/USDC,0.06903224,0.06903224,0.066401,0.06769414,73.9923069748209968,1089.80687461,0,0,0,0.06789488
1657324800000,2022-07-09 00:00:00,DOGE/USDC,0.06965353,0.06982467,0.06903224,0.06965353,46.4312422417790973,667.90407931,0,0,0,0.06951783
1657238400000,2022-07-08 00:00:00,DOGE/USDC,0.07091294,0.07284487,0.0684165,0.06903224,234.454173809397564,3359.81837398,0,0,0,0.0697818
1657152000000,2022-07-07 00:00:00,DOGE/USDC,0.0684165,0.0711476,0.06780624,0.07028042,66.0113358814697184,947.39618976,0,0,0,0.06967659
1657065600000,2022-07-06 00:00:00,DOGE/USDC,0.06660201,0.06903224,0.06660201,0.06841805,91.402223946323085,1345.9644351,0,0,0,0.06790835
1656979200000,2022-07-05 00:00:00,DOGE/USDC,0.06903224,0.06965353,0.06599757,0.06720143,80.8940485290591843,1193.40795749,0,0,0,0.06778407
1656892800000,2022-07-04 00:00:00,DOGE/USDC,0.06780624,0.06965353,0.06600794,0.06965353,128.9759753757992439,1901.00822871,0,0,0,0.06784609
1656806400000,2022-07-03 00:00:00,DOGE/USDC,0.06600794,0.06720143,0.06541916,0.06660202,55.440965378663242,836.4909721,0,0,0,0.06627802
1656720000000,2022-07-02 00:00:00,DOGE/USDC,0.06622704,0.06720143,0.06600794,0.06719675,106.2757428474048557,1592.48688367,0,0,0,0.06673571
1656633600000,2022-07-01 00:00:00,DOGE/USDC,0.06660201,0.06821864,0.06425733,0.06600794,244.2261327952828438,3700.17281981,0,0,0,0.06600398
1656547200000,2022-06-30 00:00:00,DOGE/USDC,0.0684165,0.06856156,0.06211218,0.06600794,211.260770410526045,3274.20592598,0,0,0,0.06452275
1656460800000,2022-06-29 00:00:00,DOGE/USDC,0.06600794,0.07093447,0.06425733,0.06928368,202.9826444327814507,3020.46134919,0,0,0,0.06720253
1656374400000,2022-06-28 00:00:00,DOGE/USDC,0.07155116,0.07284487,0.06541916,0.06596761,176.906777136871068,2549.2168359,0,0,0,0.06939652
1656288000000,2022-06-27 00:00:00,DOGE/USDC,0.07416198,0.07825792,0.07091294,0.07219512,261.0384957872248219,3516.00760837,0,0,0,0.07424287
1656201600000,2022-06-26 00:00:00,DOGE/USDC,0.06780624,0.07686807,0.06777098,0.07350048,239.9378166196814928,3279.39180792,0,0,0,0.07316534
1656115200000,2022-06-25 00:00:00,DOGE/USDC,0.06660201,0.06903224,0.06541916,0.069,264.7925730784682194,3885.65541133,0,0,0,0.06814618
1656028800000,2022-06-24 00:00:00,DOGE/USDC,0.06475574,0.0684165,0.06475574,0.06720143,200.815963918457908,3012.23343431,0,0,0,0.0666668
1655942400000,2022-06-23 00:00:00,DOGE/USDC,0.06199519,0.06427699,0.06199519,0.06425733,200.5346288589992032,3183.86964772,0,0,0,0.06298456
1655856000000,2022-06-22 00:00:00,DOGE/USDC,0.06483564,0.06483564,0.06144221,0.06144221,589.4049843366028816,9443.37108412,0,0,0,0.06241468
1655769600000,2022-06-21 00:00:00,DOGE/USDC,0.05981269,0.06965353,0.05927918,0.06541916,643.91844674640925,9823.52707375,0,0,0,0.0655486
1655683200000,2022-06-20 00:00:00,DOGE/USDC,0.060351,0.06089416,0.05770702,0.060351,134.5486963036822246,2269.60496858,0,0,0,0.05928287
1655596800000,2022-06-19 00:00:00,DOGE/USDC,0.05283634,0.06255315,0.05136219,0.05993226,514.3632912816124167,9101.40547977,0,0,0,0.05651471
1655510400000,2022-06-18 00:00:00,DOGE/USDC,0.05782848,0.05782848,0.04974372,0.05276148,204.9857186027123096,3869.87915324,0,0,0,0.05296954
1655424000000,2022-06-17 00:00:00,DOGE/USDC,0.05506881,0.0582785,0.05506881,0.05730483,400.2665956882184058,6918.14178186,0,0,0,0.05785753
1655337600000,2022-06-16 00:00:00,DOGE/USDC,0.06205292,0.06205292,0.05452358,0.05506881,269.1641984941211388,4705.36672818,0,0,0,0.05720366
1655251200000,2022-06-15 00:00:00,DOGE/USDC,0.0556195,0.06330018,0.05031637,0.06267345,418.9036988547274784,7532.00667958,0,0,0,0.05561648
