https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1561420800000,2019-06-25 00:00:00,ETH/USDC,310.7915577,317,306.00006017,316.99999999,393277.81381544,1259.08075659,0,0,0,312.35312886
1561334400000,2019-06-24 00:00:00,ETH/USDC,305.78058849,312.74315731,293.85288426,310.7915577,657021.83362805,2143.15903898,0,0,0,306.56699837
1561248000000,2019-06-23 00:00:00,ETH/USDC,310,318.20056615,304.70000004,305.636247,793685.31450707,2545.58985629,0,0,0,311.78837099
1561161600000,2019-06-22 00:00:00,ETH/USDC,296.76173386,315.777777,293.920293,308.85399877,1482071.09896531,4857.88005401,0,0,0,305.0859804
1561075200000,2019-06-21 00:00:00,ETH/USDC,273.24732185,296.791413,273.24732185,296.791413,1545638.72233595,5442.3648806,0,0,0,284.00130389
1560988800000,2019-06-20 00:00:00,ETH/USDC,269.39329839,274.99999999,266.93464958,272.155763,368918.59259318,1362.82960343,0,0,0,270.70045416
1560902400000,2019-06-19 00:00:00,ETH/USDC,264.69107676,270.01136742,263.95145945,269.19853023,531616.75184599,1992.31700621,0,0,0,266.83341566
1560816000000,2019-06-18 00:00:00,ETH/USDC,274.08574,274.08574,261.28338683,263.97145946,743689.41352246,2787.21504613,0,0,0,266.82168444
1560729600000,2019-06-17 00:00:00,ETH/USDC,272,275.43859591,267.61300048,274.000302,650982.78306454,2408.06826004,0,0,0,270.3340241
1560643200000,2019-06-16 00:00:00,ETH/USDC,268.68834263,278.99999999,263.1,271.35561338,688447.21668811,2526.93091057,0,0,0,272.44402045
1560556800000,2019-06-15 00:00:00,ETH/USDC,264.49902563,273.17368502,262.35004999,268.89292436,284163.32307581,1058.03916424,0,0,0,268.5754296
1560470400000,2019-06-14 00:00:00,ETH/USDC,254.89670537,266,253,264.49905563,1201041.97116488,4660.38125222,0,0,0,257.71324408
1560384000000,2019-06-13 00:00:00,ETH/USDC,263.38730952,263.44233742,254.53627263,254.53627263,376778.82314795,1450.42358589,0,0,0,259.77157763
1560297600000,2019-06-12 00:00:00,ETH/USDC,245,263.24987078,243.16680628,261.98661105,853676.07995231,3360.65113695,0,0,0,254.02103496
1560211200000,2019-06-11 00:00:00,ETH/USDC,247.93716221,248.44047988,237.75274073,245.26709285,370303.86428218,1517.76228024,0,0,0,243.98014702
1560124800000,2019-06-10 00:00:00,ETH/USDC,230.6746369,247.5925895,227.78640966,247.5925895,391255.99924304,1606.99638502,0,0,0,243.47036676
1560038400000,2019-06-09 00:00:00,ETH/USDC,244.08397919,244.40986727,226.99778939,231.97333853,649596.75257058,2766.19347908,0,0,0,234.83417103
1559952000000,2019-06-08 00:00:00,ETH/USDC,249.97793381,251.20752393,242.20836088,243.83924201,569848.60163044,2335.14522985,0,0,0,244.03133233
1559865600000,2019-06-07 00:00:00,ETH/USDC,250.09673499,254.19999999,245.60641529,251.20355517,391253.34154486,1568.06722744,0,0,0,249.51311697
1559779200000,2019-06-06 00:00:00,ETH/USDC,245.659689,251.844477,235.00146342,249.5,761464.79155904,3079.50479264,0,0,0,247.26858466
1559692800000,2019-06-05 00:00:00,ETH/USDC,240.0549652,249,237.71103301,246.44740265,590005.64953439,2408.88420103,0,0,0,244.92902119
1559606400000,2019-06-04 00:00:00,ETH/USDC,250.14717861,250.823847,233,240.20904845,1431283.87190326,5852.56529704,0,0,0,244.55666861
1559520000000,2019-06-03 00:00:00,ETH/USDC,270.08760737,270.08760737,247.07748117,250.43004799,712248.26156257,2763.59816891,0,0,0,257.72497231
1559433600000,2019-06-02 00:00:00,ETH/USDC,265.36049197,274,264.69107677,269.69938581,914885.58029504,3397.3900913,0,0,0,269.29070719
1559347200000,2019-06-01 00:00:00,ETH/USDC,268.57142854,274.51400019,260.97177602,264.34174111,606704.27468712,2265.66947589,0,0,0,267.78145759
1559260800000,2019-05-31 00:00:00,ETH/USDC,254.36310714,268.57142857,245.67217546,268.57142854,1502598.05634885,5777.45503398,0,0,0,260.07957613
1559174400000,2019-05-30 00:00:00,ETH/USDC,269.41379987,288.4,239.88099431,254.79206703,4071637.20164827,15025.71297491,0,0,0,270.97797012
1559088000000,2019-05-29 00:00:00,ETH/USDC,271.6769429,274.28571428,259.93655911,269.41379987,1112576.87780104,4139.12151901,0,0,0,268.79541291
1559001600000,2019-05-28 00:00:00,ETH/USDC,271.36820846,276.82270943,265,272.55651656,875645.93245841,3242.98777607,0,0,0,270.01209776
1558915200000,2019-05-27 00:00:00,ETH/USDC,269,280,264.23671201,271.36820847,1228857.78783957,4549.34699915,0,0,0,270.11740104
1558828800000,2019-05-26 00:00:00,ETH/USDC,251.99874035,270.81874059,245.87519485,268,1146705.32685148,4389.73974927,0,0,0,261.22398874
1558742400000,2019-05-25 00:00:00,ETH/USDC,249.90583574,258.46792491,248.26142734,251.99874035,485368.29810046,1916.48093197,0,0,0,253.26017598
1558656000000,2019-05-24 00:00:00,ETH/USDC,244.5,255.64112777,242.95143793,249.61213953,773952.36835862,3087.47357431,0,0,0,250.67497736
1558569600000,2019-05-23 00:00:00,ETH/USDC,243.57618,248.7,231.42857806,245.59095208,612608.91863006,2545.67752572,0,0,0,240.64670895
1558483200000,2019-05-22 00:00:00,ETH/USDC,254.36292214,260.96414606,240.04000001,243.91069932,1238925.44742338,4940.02086626,0,0,0,250.79356564
1558396800000,2019-05-21 00:00:00,ETH/USDC,253.83848375,263.661919,248.19883595,256.27788374,2323330.55972512,8996.61941595,0,0,0,258.24484201
1558310400000,2019-05-20 00:00:00,ETH/USDC,260.77951445,260.77951445,238.44109544,252.78596325,1852207.90752739,7494.63211459,0,0,0,247.13793541
1558224000000,2019-05-19 00:00:00,ETH/USDC,233.74286384,264.41833877,233.74286384,260.77951446,5073481.6540619,19762.99062051,0,0,0,256.71629114
1558137600000,2019-05-18 00:00:00,ETH/USDC,244.74957399,248,231.82773296,234.98945552,900180.07073708,3749.11558251,0,0,0,240.10464626
1558051200000,2019-05-17 00:00:00,ETH/USDC,265.19077396,268.68030092,223.24427401,244.62197019,2176852.56152317,9287.60072376,0,0,0,234.38265987
1557964800000,2019-05-16 00:00:00,ETH/USDC,248.27030482,279.59093655,241.66880037,265.3644265,2600728.62964068,9965.58232136,0,0,0,260.97106478
1557878400000,2019-05-15 00:00:00,ETH/USDC,218.59999994,250.58448734,217.83212714,249.21863357,1900292.23511332,8070.52145363,0,0,0,235.46089878
1557792000000,2019-05-14 00:00:00,ETH/USDC,196.74,220.89972202,195.87282904,217.83492697,1294528.35651289,6198.88924307,0,0,0,208.83230942
1557705600000,2019-05-13 00:00:00,ETH/USDC,187.64116165,208.79999999,185.87435624,196.74,1661048.89063003,8301.00964727,0,0,0,200.1020311
1557619200000,2019-05-12 00:00:00,ETH/USDC,192.52060422,203.34763595,182.27031423,188.27117955,1231424.35272852,6394.99846039,0,0,0,192.56053935
1557532800000,2019-05-11 00:00:00,ETH/USDC,172.32330484,206.62974668,172.32330484,193.47829826,2191850.92554042,11334.17967735,0,0,0,193.38416964
1557446400000,2019-05-10 00:00:00,ETH/USDC,170,175.92627536,167.20328401,171.98772896,783141.20843002,4548.12651134,0,0,0,172.18984706
1557360000000,2019-05-09 00:00:00,ETH/USDC,169.35745904,172.67643904,165.30367765,169.93187828,233753.17823915,1385.42368654,0,0,0,168.72324366
1557273600000,2019-05-08 00:00:00,ETH/USDC,166,171.98148287,162.14300009,169.70312732,472576.46012454,2821.73665094,0,0,0,167.47716693
1557187200000,2019-05-07 00:00:00,ETH/USDC,172.36510567,180.53183186,165,165.44471456,1146733.31540204,6657.93023898,0,0,0,172.23570602
1557100800000,2019-05-06 00:00:00,ETH/USDC,161.2,175.58129864,157.74922868,171.15493203,965284.47355853,5776.71816885,0,0,0,167.09911152
1557014400000,2019-05-05 00:00:00,ETH/USDC,161.89454763,163.25439554,157.39367434,161.37054949,180566.47044601,1125.85315825,0,0,0,160.3819016
