https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1692576000000,2023-08-21 00:00:00,BTC/USDC,26156.76,26231.17,25864.82,26133.26,182637.76,7.009005,114451.59,4.393366,973,26057.79
1692489600000,2023-08-20 00:00:00,BTC/USDC,26071.41,26266.27,25946.79,26174.86,381805.96,14.61354,206476.58,7.903181,1434,26126.92
1692403200000,2023-08-19 00:00:00,BTC/USDC,26004.37,26219.63,25787.27,26094.91,185233.49,7.128228,104371.93,4.016527,957,25986.17
1692316800000,2023-08-18 00:00:00,BTC/USDC,26598.95,26779.38,25601,26035.45,85515.87,3.257049,43404.45,1.654891,372,26258.21
1692230400000,2023-08-17 00:00:00,BTC/USDC,28661.34,29200,25292.4,26648.34,1779751.96,63.985911,1572339.58,56.517831,2830,27820.94
1692144000000,2023-08-16 00:00:00,BTC/USDC,29159.64,29199.99,28658.48,28687.32,2256235.94,77.648119,2170547.84,74.694117,1753,29057.22
1692057600000,2023-08-15 00:00:00,BTC/USDC,29303.05,29400,29013.42,29137.72,197655.67,6.747854,136339.43,4.654249,545,29291.79
1691971200000,2023-08-14 00:00:00,BTC/USDC,29215.29,29584.28,28000,29319.93,1612305.45,55.328814,1479978.63,50.783849,1646,29141.34
1691884800000,2023-08-13 00:00:00,BTC/USDC,29364.72,29442.33,29210.65,29215.29,549259.82,18.725634,280209.83,9.552969,1343,29332.01
1691798400000,2023-08-12 00:00:00,BTC/USDC,29287.25,29443.73,29194.85,29365.4,1350569.64,46.100685,1153256.69,39.37011,2106,29296.11
1691712000000,2023-08-11 00:00:00,BTC/USDC,29424.49,29570.35,29236.94,29287.25,499358.99,17.01354,322688.48,11.000559,2062,29350.8
1691625600000,2023-08-10 00:00:00,BTC/USDC,29519.54,29692.93,29322.21,29432.71,650618.1,22.056276,455018.46,15.421912,1838,29498.17
1691539200000,2023-08-09 00:00:00,BTC/USDC,29714.9,30050.98,29298.24,29496.92,1622434.89,54.862918,1238021.57,41.890567,3990,29572.98
1691452800000,2023-08-08 00:00:00,BTC/USDC,29041.66,30106.44,28936.78,29731.14,2097101.53,72.150189,1983390.54,68.284342,1822,29066.77
1691366400000,2023-08-07 00:00:00,BTC/USDC,29033.04,29127.03,28586.06,29124.94,892115.11,30.721173,785553.05,27.043177,1875,29039.19
1691280000000,2023-08-06 00:00:00,BTC/USDC,29070.12,29165.23,28959.28,29045.77,691659.51,23.796567,415601.02,14.299601,2915,29065.53
1691193600000,2023-08-05 00:00:00,BTC/USDC,29165.37,29165.37,28978.13,29081.87,112368.92,3.866105,55379.33,1.905438,545,29065.17
1691107200000,2023-08-04 00:00:00,BTC/USDC,29220.93,29349.62,28877,29127.7,455002.14,15.57431,217473.64,7.442717,2055,29215.01
1691020800000,2023-08-03 00:00:00,BTC/USDC,29197.77,29403.09,29023.7,29194.56,659138.6,22.552207,317279.25,10.857194,2622,29227.41
1690934400000,2023-08-02 00:00:00,BTC/USDC,29752.81,30000,29000,29223.53,333952.95,11.322074,167919.66,5.698018,1563,29498.58
1690848000000,2023-08-01 00:00:00,BTC/USDC,29254.71,29731.52,28649.67,29731.52,643193.69,22.168012,301918.74,10.400051,2303,29015.41
1690761600000,2023-07-31 00:00:00,BTC/USDC,29317.32,29540.22,29138.24,29285.83,616917.32,21.000305,304319.76,10.360592,2543,29376.85
1690675200000,2023-07-30 00:00:00,BTC/USDC,29382.5,29457.59,29113.09,29314.59,570610.94,19.460682,285882.65,9.74947,2192,29321.34
1690588800000,2023-07-29 00:00:00,BTC/USDC,29332.46,29435.73,29259.16,29358.86,513381.96,17.495982,247427.05,8.432491,2149,29342.89
1690502400000,2023-07-28 00:00:00,BTC/USDC,29236.8,29554.2,29130.3,29331.92,803969,27.445439,399802.97,13.648515,3346,29293.57
1690416000000,2023-07-27 00:00:00,BTC/USDC,29358.97,29580.72,29102.74,29239.86,667871.81,22.738642,330948.95,11.269046,2650,29372.25
1690329600000,2023-07-26 00:00:00,BTC/USDC,29159.52,29668.95,29089.43,29347.06,581127.84,19.85324,290940.4,9.940496,2456,29271.42
1690243200000,2023-07-25 00:00:00,BTC/USDC,29222.65,29354.75,29066.8,29284.14,544234.64,18.643801,256723.34,8.79451,2198,29191.3
1690156800000,2023-07-24 00:00:00,BTC/USDC,30112.88,30118.25,28962.99,29184.9,407810.23,13.812296,199886.66,6.773548,1766,29528.56
1690070400000,2023-07-23 00:00:00,BTC/USDC,29805.71,30336.23,29772.56,30120.38,776192.6,25.908906,390651.06,13.040763,3129,29958.81
1689984000000,2023-07-22 00:00:00,BTC/USDC,29925.18,30010.06,29670.73,29820.71,605280.28,20.24729,320666.81,10.726372,2445,29894.47
1689897600000,2023-07-21 00:00:00,BTC/USDC,29850.22,30075.42,29477.46,29923.74,616047.23,20.615838,293815.4,9.829102,2582,29882.43
1689811200000,2023-07-20 00:00:00,BTC/USDC,29960.47,30457.75,29618.66,29848.1,767720.18,25.578835,394298.45,13.133025,3130,30015.3
1689724800000,2023-07-19 00:00:00,BTC/USDC,29888.09,30201.12,29815.44,29937.49,754113.88,25.126881,370652.4,12.349722,3024,30012.4
1689638400000,2023-07-18 00:00:00,BTC/USDC,30146.77,30243.71,29557.42,29886.16,838753.05,27.996272,398755.29,13.319463,2910,29960.17
1689552000000,2023-07-17 00:00:00,BTC/USDC,30212.07,30351.15,29765.22,30143.5,829829.53,27.494765,404480.58,13.403292,3012,30181.87
1689465600000,2023-07-16 00:00:00,BTC/USDC,30241.17,30425.74,30072.52,30198.16,780431.54,25.768141,378371.72,12.493433,3008,30286.78
1689379200000,2023-07-15 00:00:00,BTC/USDC,30251.18,30334.79,30202.2,30237.43,432736.71,14.299822,213331.69,7.049378,2875,30261.7
1689292800000,2023-07-14 00:00:00,BTC/USDC,31448.12,31587.1,29906.5,30262.13,452296.99,14.65144,228183.9,7.385662,3537,30878.53
1689206400000,2023-07-13 00:00:00,BTC/USDC,30354.6,31745.01,30236.94,31439.97,484702.85,15.75435,245268.46,7.970405,3310,30773.01
1689120000000,2023-07-12 00:00:00,BTC/USDC,30605.03,30919.28,30235.49,30354.19,447144.5,14.630713,225272.92,7.371211,3160,30562.78
