https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1584489600000,2020-03-18 00:00:00,LTC/USDC,34.35314067,34.90511901,32.50073669,34.66614219,148225.37697802,4381.62626838,0,0,0,33.82884981
1584403200000,2020-03-17 00:00:00,LTC/USDC,33.28701115,36,32.52156826,34.20924781,220178.64566609,6359.85056515,0,0,0,34.62009734
1584316800000,2020-03-16 00:00:00,LTC/USDC,35.99812056,36.06285809,29.24374642,33.28701115,251182.00665257,7888.56987521,0,0,0,31.84126028
1584230400000,2020-03-15 00:00:00,LTC/USDC,34.22339966,38.84566178,34.22339966,36.37746187,71446.26617445,2001.72119769,0,0,0,35.69241623
1584144000000,2020-03-14 00:00:00,LTC/USDC,37.47086085,37.77062774,33.76507364,34.26714416,45519.55221064,1260.16881872,0,0,0,36.12178902
1584057600000,2020-03-13 00:00:00,LTC/USDC,30.71888886,40,24.16900542,37.77062774,365670.3268469,11506.53070718,0,0,0,31.77937261
1583971200000,2020-03-12 00:00:00,LTC/USDC,48.53609871,48.53609871,29.12682323,29.64575538,515971.13824839,14653.83424226,0,0,0,35.21065747
1583884800000,2020-03-11 00:00:00,LTC/USDC,50.44136218,50.55,45.63129648,48.679997,134036.12011896,2788.24428271,0,0,0,48.07187123
1583798400000,2020-03-10 00:00:00,LTC/USDC,50.34417244,51.44006614,49.16289384,50.22052294,101822.2516833,2029.32580341,0,0,0,50.17540875
1583712000000,2020-03-09 00:00:00,LTC/USDC,51.37592365,52.38617153,46.79191079,50.46497884,187045.1665516,3754.122529,0,0,0,49.82393757
1583625600000,2020-03-08 00:00:00,LTC/USDC,60.16192972,60.16192972,50.69277613,51.00766703,164561.51255164,3056.00119714,0,0,0,53.84864138
1583539200000,2020-03-07 00:00:00,LTC/USDC,62.98512502,64,60.1323475,60.30607092,74007.15496137,1205.94653376,0,0,0,61.36852081
1583452800000,2020-03-06 00:00:00,LTC/USDC,62.34147038,63.67087695,61.43890577,63.14384472,136666.63783541,2183.96810221,0,0,0,62.57721332
1583366400000,2020-03-05 00:00:00,LTC/USDC,60.58065471,63.33925315,60.58065471,61.98282657,80659.90784142,1303.01032477,0,0,0,61.90273884
1583280000000,2020-03-04 00:00:00,LTC/USDC,60.83615733,61.70005364,58.79898662,60.06655329,142112.42434568,2353.19548786,0,0,0,60.39125311
1583193600000,2020-03-03 00:00:00,LTC/USDC,60.81532906,62.41630913,59.69968137,60.89578756,189571.88726181,3116.95483866,0,0,0,60.81958099
1583107200000,2020-03-02 00:00:00,LTC/USDC,57.64041429,62.32776509,57.34953419,61.32753182,130963.74349181,2186.62467178,0,0,0,59.89310611
1583020800000,2020-03-01 00:00:00,LTC/USDC,58.79898662,60.1,56.27186136,57.65129207,139745.37667123,2414.22495142,0,0,0,57.88415722
1582934400000,2020-02-29 00:00:00,LTC/USDC,60.58065471,61.60664273,57.98544071,58.12264861,58008.85067976,970.19573741,0,0,0,59.79087357
1582848000000,2020-02-28 00:00:00,LTC/USDC,61.48,63.13122121,56.7426043,59.87349031,114994.32522094,1907.88965432,0,0,0,60.27304826
1582761600000,2020-02-27 00:00:00,LTC/USDC,60.12788586,65,57.34732579,61.24395379,149002.8211578,2442.77563838,0,0,0,60.99734204
1582675200000,2020-02-26 00:00:00,LTC/USDC,71.4826501,72.01260683,57.64789924,60.58065471,240559.84292131,3775.14621015,0,0,0,63.72199367
1582588800000,2020-02-25 00:00:00,LTC/USDC,75.72733238,75.95882807,69.63590042,71.03558201,165938.09322829,2285.2396755,0,0,0,72.61299329
1582502400000,2020-02-24 00:00:00,LTC/USDC,79.74714582,79.97259957,71.74593783,75.81147223,225278.56958849,2975.32855943,0,0,0,75.7155269
1582416000000,2020-02-23 00:00:00,LTC/USDC,75.6170226,80.12604813,75.42,79.8590138,53318.02331902,674.80186758,0,0,0,79.01285678
1582329600000,2020-02-22 00:00:00,LTC/USDC,73.18803122,76.44051619,72.46339723,75.02304542,156824.01067615,2093.96695612,0,0,0,74.89325952
1582243200000,2020-02-21 00:00:00,LTC/USDC,68.94643606,75.22035829,68.78661155,73.46755116,303886.32744695,4184.32688572,0,0,0,72.62490138
1582156800000,2020-02-20 00:00:00,LTC/USDC,70.44705407,72.1751007,65.80000001,69.52433717,307048.98810087,4422.6824914,0,0,0,69.42596234
1582070400000,2020-02-19 00:00:00,LTC/USDC,76.92135632,79.48275862,67,70.84229456,255385.70013395,3341.58109677,0,0,0,76.42660547
1581984000000,2020-02-18 00:00:00,LTC/USDC,72.81924616,79.0296245,70.22049117,77.37911976,260255.82764696,3509.86851296,0,0,0,74.14973714
1581897600000,2020-02-17 00:00:00,LTC/USDC,74.65911066,75.40570172,68.76501122,73.32620024,245391.6789114,3427.12290156,0,0,0,71.60282428
1581811200000,2020-02-16 00:00:00,LTC/USDC,76.76138084,80.55715046,68.1613094,74.72242155,347367.23944495,4734.36010904,0,0,0,73.37152887
1581724800000,2020-02-15 00:00:00,LTC/USDC,83.67361174,83.67361174,75.35,76.53220384,135994.69246505,1724.97953195,0,0,0,78.83843833
1581638400000,2020-02-14 00:00:00,LTC/USDC,80.09732098,83.788999,78.67430045,83.31237215,181653.452861,2237.94960709,0,0,0,81.16959036
1581552000000,2020-02-13 00:00:00,LTC/USDC,81.78157434,84.40356975,77.420111,80.63591606,450630.43507276,5575.9232713,0,0,0,80.81718724
1581465600000,2020-02-12 00:00:00,LTC/USDC,77.4716725,82.99999992,76.89735122,80.95980444,217741.39401089,2737.49528324,0,0,0,79.5403723
1581379200000,2020-02-11 00:00:00,LTC/USDC,73.20811119,77.41815199,72.69879703,76.98274529,165591.39163986,2203.52424192,0,0,0,75.14843199
1581292800000,2020-02-10 00:00:00,LTC/USDC,77.17635276,77.39518123,72.46339721,73.94065866,149251.51565782,1986.40765819,0,0,0,75.13639762
1581206400000,2020-02-09 00:00:00,LTC/USDC,76.95546215,78.46747558,75.165,77.13635799,146035.35371735,1898.6679183,0,0,0,76.91463699
1581120000000,2020-02-08 00:00:00,LTC/USDC,73.8012253,77.7168025,71.64252015,76.81222091,294176.80154981,3963.17504974,0,0,0,74.22755691
1581033600000,2020-02-07 00:00:00,LTC/USDC,73.69271963,75.40570172,72.77535539,74.09,372371.18770309,5038.7664527,0,0,0,73.9012596
1580947200000,2020-02-06 00:00:00,LTC/USDC,72.46339721,74.99,70.97147038,73.41082092,249816.13498837,3436.94451687,0,0,0,72.68553034
1580860800000,2020-02-05 00:00:00,LTC/USDC,68,73.45198313,67.58278507,72.82193003,487163.60005301,6861.58612631,0,0,0,70.99868617
1580774400000,2020-02-04 00:00:00,LTC/USDC,69.8940504,70.24013354,66.50000001,67.50445507,232530.34271628,3400.80227025,0,0,0,68.37514334
1580688000000,2020-02-03 00:00:00,LTC/USDC,69.81122858,72.79988923,68.56313216,69.63590042,268999.24540399,3820.96113214,0,0,0,70.40093738
1580601600000,2020-02-02 00:00:00,LTC/USDC,70.15867138,73.23452733,67.74345487,69.71747514,327055.87321529,4677.25794389,0,0,0,69.92470313
1580515200000,2020-02-01 00:00:00,LTC/USDC,67.87032767,72.78434808,67.87032767,70.6261587,456186.36610246,6418.48582042,0,0,0,71.07382938
1580428800000,2020-01-31 00:00:00,LTC/USDC,67.72283037,69.65531702,65.45493651,67.73348042,409649.22268023,6063.71112684,0,0,0,67.5575096
1580342400000,2020-01-30 00:00:00,LTC/USDC,59.5716731,70,58.08771277,67.39760642,424186.21349334,6694.60145412,0,0,0,63.36242962
1580256000000,2020-01-29 00:00:00,LTC/USDC,60.44455839,62.28793579,59.38697649,59.70700038,247259.09121962,4053.31606284,0,0,0,61.00168044
1580169600000,2020-01-28 00:00:00,LTC/USDC,58.94277863,61.42192851,57.36282815,60.64481151,297349.75320928,4993.59246301,0,0,0,59.54625961
1580083200000,2020-01-27 00:00:00,LTC/USDC,56.50467042,59.5720577,55.91006701,58.56221795,207565.76438606,3556.26415515,0,0,0,58.36623921
1579996800000,2020-01-26 00:00:00,LTC/USDC,53.02776263,56.50392864,52.91538487,56.09677335,123347.52959938,2238.09550391,0,0,0,55.11271944
1579910400000,2020-01-25 00:00:00,LTC/USDC,54.1165369,54.11653709,52.18111512,53.22995554,17761.1921771,334.48457676,0,0,0,53.10018282
1579824000000,2020-01-24 00:00:00,LTC/USDC,54.40848327,55.22,50.62030917,54.47728904,122721.45008359,2324.96879598,0,0,0,52.78412781
1579737600000,2020-01-23 00:00:00,LTC/USDC,57.77222505,57.77222505,52.34249405,54.40848327,56476.85445535,1023.83082452,0,0,0,55.16229156
1579651200000,2020-01-22 00:00:00,LTC/USDC,57.64041429,59.08364572,57.069,57.69943113,185451.67184768,3198.65533188,0,0,0,57.97801032
1579564800000,2020-01-21 00:00:00,LTC/USDC,57.04517607,57.99507453,55.89906839,57.45,35326.48079096,617.99437082,0,0,0,57.16311095
1579478400000,2020-01-20 00:00:00,LTC/USDC,57.79506535,57.96031664,55.85,57.17633651,63696.64825784,1115.91582963,0,0,0,57.08015476
1579392000000,2020-01-19 00:00:00,LTC/USDC,59.07580999,62.41630913,55.39130518,57.63830868,113990.23973201,1944.49208336,0,0,0,58.62211561
1579305600000,2020-01-18 00:00:00,LTC/USDC,61.01956154,62.41630913,57.77514559,59.38697649,203087.41062708,3399.55632202,0,0,0,59.73938696
1579219200000,2020-01-17 00:00:00,LTC/USDC,57.24437597,63.23840723,56.7487051,61.01956154,290915.41759103,4850.38536134,0,0,0,59.97779473
1579132800000,2020-01-16 00:00:00,LTC/USDC,58.30478573,58.3462504,54.70068951,57.78570173,337174.77270912,5992.68909981,0,0,0,56.26435262
1579046400000,2020-01-15 00:00:00,LTC/USDC,58.26825206,60.27166694,55.39130518,58.0800059,266245.86067661,4575.5057438,0,0,0,58.18938399
1578960000000,2020-01-14 00:00:00,LTC/USDC,49.79014009,60.58065471,49.79014009,58.38760854,458326.03534712,8198.88025277,0,0,0,55.90105248
1578873600000,2020-01-13 00:00:00,LTC/USDC,51.59153983,51.59153983,48.93966947,49.61773593,265410.28064748,5303.55723912,0,0,0,50.04382317
1578787200000,2020-01-12 00:00:00,LTC/USDC,49.15697088,51.46293511,48.92438175,51.46293511,76699.32196794,1518.83560766,0,0,0,50.49876469
1578700800000,2020-01-11 00:00:00,LTC/USDC,48.67026819,51.85099959,47.85,49.15697088,74843.26366572,1505.10521499,0,0,0,49.72626692
1578614400000,2020-01-10 00:00:00,LTC/USDC,44.90302165,49.64854058,43.75,49.15697087,231296.57304181,4840.95107059,0,0,0,47.77915943
1578528000000,2020-01-09 00:00:00,LTC/USDC,44.94617611,45.68857716,43.94972479,44.86940137,43462.73107396,974.274703,0,0,0,44.61034546
1578441600000,2020-01-08 00:00:00,LTC/USDC,46.40528487,48.45703805,44.06055887,45.39563787,120389.87175959,2576.77507402,0,0,0,46.72114107
1578355200000,2020-01-07 00:00:00,LTC/USDC,45.86041101,46.87864935,44.5,46.38934164,232381.10020338,5094.59095962,0,0,0,45.61329889
1578268800000,2020-01-06 00:00:00,LTC/USDC,43.30315059,46.00567518,43.20082473,45.79411184,111297.04692522,2496.15297958,0,0,0,44.58743027
